Date,AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PLTR,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2010-01-04,6.43,,18.53,31.65,37.09,16.45,9.7,39.91,32.62,6.7,1.33,32.72,43.777542,12.3,19.81,221.16,159.86,15.27,66.22,25.78,39.55,,28.77,6.14,30.83,23.64,42.28,18.57,16.26,22.95,42.6,41.7,23.64,27.48,25.81,28.24,69.87,48.15,53.88,15.25,,15.54,15.59,131.99,19.81,27.41,73.71,13.52,27.28,34.31,40.97,28.83,17.69,60.63,23.57,47.48,17.47,23.68,41.03,12.61,29.96,20.35,,43.35,7.66,20.98,20.9,23.21,8.47,7.64,13.42,,0.42387,20.15,38.71,9.68,38.96,,23.57,,31.71,29.21,8.73,16.23,16.78,38.17,8.77,31.99,45.06,10.22,,17.41,24.92,23.46,35.22,14.55,19.72,14.16,18.23,13.02,38.57
2010-01-05,6.44,,18.38,31.85,37.7,16.15,9.71,39.57,33.16,6.73,1.34,32.65,45.211342,12.7,20.02,223.72,160.55,15.03,66.54,26.77,40.02,35.0,29.0,6.06,32.04,23.66,42.15,18.49,16.18,22.86,42.91,41.54,23.62,27.41,25.38,28.28,70.79,48.22,54.16,15.23,,15.47,15.52,134.33,19.95,27.46,72.82,13.52,27.28,34.15,40.5,29.39,17.48,59.5,23.16,47.98,17.29,23.61,40.72,13.23,30.57,20.82,,43.08,7.67,21.06,21.66,23.22,8.39,7.358571,13.47,,0.43006,20.12,39.18,9.54,38.97,,23.37,,32.47,28.77,8.93,16.18,16.44,37.91,8.73,32.11,45.21,10.24,,17.31,24.88,23.78,35.28,14.92,19.49,14.19,18.73,12.89,38.72
2010-01-06,6.34,,18.48,32.18,37.619999,16.04,9.57,39.27,33.34,6.61,1.35,33.18,46.58279,12.85,19.72,216.34,157.24,15.03,66.2,27.6,40.14,35.0,28.94,6.02,32.22,23.83,42.7,18.46,16.08,22.65,42.91,41.43,23.66,27.26,25.48,28.54,70.2,48.18,53.88,15.76,,15.08,15.13,132.89,19.89,27.46,72.35,13.47,26.9,34.65,40.83,29.55,17.47,60.03,23.33,47.27,17.33,23.58,40.16,13.32,31.08,21.03,,43.69,7.78,21.35,21.94,23.08,8.47,7.6171,13.39,,0.43281,19.83,38.78,9.51,38.78,,23.37,,32.15,28.62,8.87,15.89,16.68,37.48,8.6,32.72,45.64,9.55,,17.19,25.13,23.82,35.02,15.08,19.23,13.78,18.75,12.86,39.05
2010-01-07,6.33,,18.63,32.15,36.889999,15.73,9.47,38.91,33.25,6.5,1.34,33.71,48.468559,13.27,20.55,213.42,158.96,15.04,66.459,27.68,40.3,35.0,28.82,6.14,33.81,23.74,42.49,18.38,16.15,23.49,42.75,41.72,23.85,27.27,25.6,28.54,69.44,48.32,56.67,15.8,,14.73,14.78,135.49,20.12,27.99,72.1,13.34,26.81,34.52,40.54,30.13,17.43,60.18,23.21,45.97,17.83,23.42,40.46,13.29,31.37,21.33,,43.73,7.77,21.38,22.26,22.84,8.45,7.4857,13.52,,0.42433,19.77,38.54,9.47,38.57,,23.66,,33.08,28.74,8.84,15.83,16.61,37.97,8.51,33.12,45.64,9.64,,17.24,26.09,23.61,34.75,15.37,19.41,13.7,19.43,12.87,38.93
2010-01-08,6.37,,18.73,32.03,36.689999,16.15,9.43,39.26,33.31,6.68,1.35,33.69,48.001015,13.15,20.68,213.5,160.08,14.79,66.44,27.22,40.76,33.5,28.3,6.13,33.52,23.94,42.19,18.41,16.24,23.66,42.82,42.86,24.19,27.31,25.61,28.7,71.16,48.32,57.89,15.68,,14.92,14.98,132.93,20.02,28.61,72.82,13.49,27.52,34.33,40.68,30.06,17.11,60.58,23.04,46.71,17.79,23.43,40.42,13.3,31.53,21.44,,44.03,7.79,21.37,21.81,22.99,8.37,7.614286,13.5,,0.42525,20.01,38.41,9.55,38.52,,23.53,,33.41,28.8,8.81,15.72,16.57,37.06,8.44,32.99,46.4,9.1,,17.63,25.85,24.41,36.42,15.4,19.46,13.71,19.25,12.8,38.78
2010-01-11,6.31,,18.82,32.0,36.209999,16.31,9.14,39.43,33.01,6.52,1.36,33.3,47.432171,13.27,20.32,216.17,162.69,14.94,66.4998,27.53,43.32,33.5,28.18,6.09,32.92,24.08,42.24,18.28,16.19,23.61,43.58,44.59,24.46,26.87,25.87,29.14,73.06,49.22,58.45,15.81,,14.9,14.95,130.83,19.46,28.97,72.06,13.57,27.64,34.59,40.68,29.96,17.45,61.15,23.35,46.94,17.64,23.05,40.73,13.24,31.41,21.58,,43.86,7.84,21.46,21.66,22.7,8.37,7.604286,13.33,,0.41929,20.02,38.37,9.62,38.37,,23.62,,33.29,29.42,8.79,15.68,16.79,37.1,8.4,33.07,46.95,9.22,,17.41,26.02,24.24,38.03,15.47,19.41,13.76,19.21,13.01,39.21
2010-01-12,6.24,,18.77,31.79,35.66,15.67,8.65,38.74,32.61,6.37,1.34,33.75,47.089306,12.83,20.36,211.3,159.78,14.78,66.002,26.69,42.04,33.5,28.02,5.98,33.05,23.57,42.01,16.95,15.93,23.35,43.33,42.68,24.12,26.4,25.9,28.98,72.49,48.92,58.48,15.83,,14.64,14.69,127.98,19.33,28.64,72.63,13.35,27.64,33.82,40.9,29.26,17.64,60.49,23.27,46.93,17.6,23.03,40.96,13.47,31.07,21.59,,43.89,7.8,21.29,21.05,22.55,8.16,7.4814,13.31,,0.40507,19.91,38.9,9.59,38.81,,23.49,,32.75,29.25,8.64,15.66,16.68,36.36,8.4,32.51,46.18,8.14,,16.68,25.33,24.17,37.77,15.46,19.32,13.78,18.73,13.14,39.01
2010-01-13,6.33,,18.95,32.15,36.279999,16.0,9.15,39.09,33.3,6.46,1.3,33.85,47.65815,13.03,20.51,211.62,160.42,14.89,66.0,26.54,42.1,32.75,28.15,6.07,33.25,23.72,42.27,17.0,16.22,23.64,43.0,43.35,24.18,26.81,25.96,29.0,71.86,49.72,58.69,16.02,,14.55,14.6,128.93,19.44,28.75,72.48,13.57,27.96,34.0,41.16,29.77,17.69,61.56,23.59,47.5,17.51,23.63,40.91,13.44,31.25,21.26,,43.75,7.84,22.07,21.14,22.76,8.19,7.708571,13.43,,0.41058,20.11,39.22,9.82,39.21,,23.73,,32.89,29.59,8.85,15.67,16.92,36.73,8.3,32.51,46.2,8.12,,16.75,25.72,24.2,37.57,15.71,19.5,13.76,19.07,13.21,38.86
2010-01-14,6.29,,18.97,32.44,35.9,15.74,9.0,38.83,33.49,6.37,1.3,34.28,47.969856,13.19,20.48,206.16,159.4,14.93,65.96,26.62,41.86,32.75,27.93,6.04,32.9,23.82,41.79,17.17,16.43,23.62,42.87,43.4,24.28,26.58,25.96,29.27,72.25,49.74,58.24,16.01,,14.62,14.67,128.52,19.55,28.92,73.63,13.91,28.14,34.22,41.24,30.07,17.72,60.22,23.69,47.47,17.49,24.03,40.95,13.39,31.52,21.46,,43.6,7.89,22.67,21.1,23.22,7.95,7.284286,13.35,,0.40416,20.59,39.69,9.91,39.25,,23.69,,32.67,29.69,8.92,15.74,16.88,36.9,8.16,33.01,45.93,7.99,,16.54,26.34,23.81,37.65,16.11,19.56,13.48,19.34,13.01,38.86
2010-01-15,6.19,,19.01,32.21,35.869999,15.44,8.84,38.9,33.03,6.36,1.28,34.04,47.393215,12.75,20.33,206.16,159.53,14.94,64.94,25.93,40.89,32.25,27.78,6.02,32.47,23.83,41.84,17.04,16.06,23.59,42.7,41.9,23.98,26.22,25.7,28.87,71.26,49.4,57.33,16.03,,14.38,14.43,125.99,19.74,28.96,73.34,13.47,27.86,34.29,40.9,29.39,17.46,60.18,23.57,47.43,17.51,24.23,40.71,13.6,31.27,21.22,,43.54,7.91,22.37,20.54,23.14,8.04,7.278571,13.22,,0.39224,20.51,39.37,9.96,38.76,,23.7,,32.78,29.35,8.81,15.59,16.83,36.22,8.04,33.06,45.29,8.1,,16.4,26.68,23.52,37.49,15.66,19.27,13.2,18.73,12.89,38.55
