Ticker,Company,Sector,Industry
AAPL,Apple Inc.,Technology,Consumer Electronics
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General
ABT,Abbott Laboratories,Healthcare,Medical - Devices
ACN,Accenture plc,Technology,Information Technology Services
ADBE,Adobe Inc.,Technology,Software - Infrastructure
AIG,"American International Group, Inc.",Financial Services,Insurance - Diversified
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General
AMT,American Tower Corporation,Real Estate,REIT - Specialty
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail
AVGO,Broadcom Inc.,Technology,Semiconductors
AXP,American Express Company,Financial Services,Financial - Credit Services
BA,The Boeing Company,Industrials,Aerospace & Defense
BAC,Bank of America Corporation,Financial Services,Banks - Diversified
BK,The Bank of New York Mellon Corporation,Financial Services,Asset Management
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services
BLK,"BlackRock, Inc.",Financial Services,Asset Management
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General
C,Citigroup Inc.,Financial Services,Banks - Diversified
CAT,Caterpillar Inc.,Industrials,Agricultural - Machinery
CHTR,"Charter Communications, Inc.",Communication Services,Telecommunications Services
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products
CMCSA,Comcast Corporation,Communication Services,Telecommunications Services
COF,Capital One Financial Corporation,Financial Services,Financial - Credit Services
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores
CRM,"Salesforce, Inc.",Technology,Software - Application
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment
CVS,CVS Health Corporation,Healthcare,Medical - Healthcare Plans
CVX,Chevron Corporation,Energy,Oil & Gas Integrated
DE,Deere & Company,Industrials,Agricultural - Machinery
DHR,Danaher Corporation,Healthcare,Medical - Diagnostics & Research
DIS,The Walt Disney Company,Communication Services,Entertainment
DUK,Duke Energy Corporation,Utilities,Regulated Electric
